fileid,filename,pretty_midi,instruments,rtcid
wilson_that_old_second_viennese_school_rag_wilson,Wilson/That Old Second-Viennese-School Rag - Wilson.mid,True,"[0, 0]",13757
wilson_triangle_jazz_blues_wilson,Wilson/Triangle Jazz Blues - Wilson.mid,True,"[0, 0, 0]",-1
wilson_im_a_jonah_man_wilson,Wilson/I'm A Jonah Man - Wilson.mid,True,"[3, 0, 0]",-1
wilson_poor_buttermilk_wilson,Wilson/Poor Buttermilk - Wilson.mid,True,"[0, 0]",10184
wilson_gladiolus_rag_wilson,Wilson/Gladiolus Rag - Wilson.mid,True,[1],-1
wilson_alamo_blues_wilson,Wilson/Alamo Blues - Wilson.mid,True,"[0, 0]",235
wilson_good_and_plenty_rag_wilson,Wilson/Good And Plenty Rag - Wilson.mid,True,"[0, 0]",4910
wilson_hot_cabbage_wilson,Wilson/Hot Cabbage - Wilson.mid,True,"[0, 0]",5662
wilson_on_the_lamb_albright_wilson,Wilson/On The Lamb (Albright) - Wilson.mid,True,"[0, 0]",9434
wilson_three_little_oddities_romanza_wilson,Wilson/Three Little Oddities; Romanza - Wilson.mid,True,"[0, 0]",14005
wilson_scott_joplins_new_rag_wilson,Wilson/Scott Joplin's New Rag - Wilson.mid,True,[1],-1
wilson_harem_scarem_rag_wilson,Wilson/Harem Scarem Rag - Wilson.mid,True,"[0, 0]",5235
wilson_pine_apple_rag_wilson,Wilson/Pine Apple Rag - Wilson.mid,True,[1],-1
wilson_glad_rag_bolcom_wilson,Wilson/Glad Rag (Bolcom) - Wilson.mid,True,"[0, 0]",4802
wilson_last_rag_wilson,Wilson/Last Rag - Wilson.mid,True,"[0, 0]",7300
wilson_queen_of_sheba_the_wilson,"Wilson/Queen of Sheba, The - Wilson.mid",True,"[0, 0, 116, 118]",-1
wilson_colorado_blues_wilson,Wilson/Colorado Blues - Wilson.mid,True,"[0, 0]",2373
wilson_wild_flower_rag_williams_wilson,Wilson/Wild Flower Rag (Williams) - Wilson.mid,True,"[0, 0]",15229
wilson_chinese_blues_gardner_wilson,Wilson/Chinese Blues (Gardner) - Wilson.mid,True,"[3, 0, 0]",-1
wilson_geraldine_lodge_wilson,Wilson/Geraldine (Lodge) - Wilson.mid,True,"[0, 0]",4715
wilson_pear_blossoms_wilson,Wilson/Pear Blossoms - Wilson.mid,True,"[0, 0]",9787
wilson_eugenia_wilson,Wilson/Eugenia - Wilson.mid,True,[1],-1
wilson_magnetic_rag_wilson,Wilson/Magnetic Rag - Wilson.mid,True,[1],-1
wilson_moon_is_shining_in_the_skies_the_wilson,"Wilson/Moon Is Shining In The Skies, The - Wilson.mid",True,"[3, 0, 0]",-1
wilson_silver_swan_rag_wilson,Wilson/Silver Swan Rag - Wilson.mid,True,[1],-1
wilson_harmony_club_waltz_wilson,Wilson/Harmony Club Waltz - Wilson.mid,True,[1],-1
wilson_blue_streak_a_bargy_wilson,"Wilson/Blue Streak, A (Bargy) - Wilson.mid",True,"[0, 0]",1240
wilson_no_one_could_do_it_like_my_father_wilson,Wilson/No One Could Do It Like My Father! - Wilson.mid,True,"[0, 0, 0]",-1
wilson_cleopha_wilson,Wilson/Cleopha - Wilson.mid,True,[1],-1
wilson_alabama_rag_lamb_wilson,Wilson/Alabama Rag (Lamb) - Wilson.mid,True,"[0, 0]",215
wilson_taint_nobodys_busness_if_i_do_wilson,Wilson/Tain't Nobody's Bus'ness If I Do - Wilson.mid,True,"[3, 0, 0]",-1
wilson_foot_warmer_the_wilson,"Wilson/Foot Warmer, The - Wilson.mid",True,"[0, 0]",4335
wilson_midnight_trot_the_wilson,"Wilson/Midnight Trot, The - Wilson.mid",True,"[0, 0]",8249
wilson_palm_leaf_rag_wilson,Wilson/Palm Leaf Rag - Wilson.mid,True,[1],-1
wilson_shes_my_girl_from_anaconda_wilson,Wilson/She's My Girl from Anaconda - Wilson.mid,True,"[0, 0]",12094
wilson_junk_man_rag_the_wilson,"Wilson/Junk Man Rag, The - Wilson.mid",True,"[3, 0, 0]",-1
wilson_whistling_rag_the_wilson,"Wilson/Whistling Rag, The - Wilson.mid",True,"[72, 0, 0, 0]",-1
wilson_crush_collision_march_the_wilson,"Wilson/Crush Collision March, The - Wilson.mid",True,[1],-1
wilson_home_again_blues_wilson,Wilson/Home Again Blues - Wilson.mid,True,"[3, 0, 0]",-1
wilson_bounding_buck_the_wilson,"Wilson/Bounding Buck, The - Wilson.mid",True,"[0, 0]",1360
wilson_stoptime_wilson,Wilson/Stoptime - Wilson.mid,True,[1],-1
