fileid,title,composer,year,year_alt,rtctype,ts_pm,silence_pm,silence_beats_pm,quant_pct_pm,ts_m21,silence_beats_m21,quant_m21,onset_pct_m21,true_ts,part0_avgpitch,part1_avgpitch,part0_numnotes,part1_numnotes,do_not_use,part_pitch_diff
misc_sequencers_a_e_magnolia_rag_davis_davis,Magnolia Rag,"Davis, Gary L.",1981,,Y,2/4,0.999999,1.5,0.995653749,['2/4@0.0'],1.5,"(2814, 2810)",0.998578536,,73.68659534,52.65158046,1589,1392,,21.03501488
hiawatha_radna_mahogany_rag_radna_radna,Mahogany Rag,"Radna, Rudolf B.",2009,,Y,2/4,0.38961,0.5,1,['2/4@0.0'],0.5,"(2261, 2261)",1,,75.07869634,53.46893617,1258,1175,,21.60976017
macdonald_majestic_rag_macdonald,Majestic Rag,"Rawls, Ben & Neel, Royal",1914,,R,4/4,0,0,0.995031938,['4/4@0.0'],0,"(2818, 2804)",0.995031938,,70.63078639,50.59268707,1793,1176,,20.03809932
misc_sequencers_a_e_major_rag_cardenas,Major Rag,"Cardenas, Jaime",2006,,Y,2/4,0,0,0.991592223,['2/4@0.0'],0,"(1909, 1893)",0.991618649,,72.16476684,50.49815498,965,1084,,21.66661186
misc_sequencers_a_e_mans_feelings_bold_symphony_ex_muromachi,Man's Feelings,bold Symphony,2003,,Y,2/4,1.08108,2,0.930501931,['2/4@0.0'],2,"(2625, 2610)",0.994285714,,76.91029207,51.55940205,1438,1271,,25.35089003
cowles_mancenillier_the_cowles,"Mancenillier, The","Gottschalk, Louis Moreau",1851,,N,4/4,0.324728304,0.995833333,0.122119816,['4/4@0.0'],1,"(3940, 3457)",0.877411168,,77.12583413,56.82855626,2098,1884,,20.29727786
misc_sequencers_a_e_mando_rag_the_buttall_buttall_ex_sm,"Mando Rag, The","Buttall, Philip R.",2004,,Y,2/4,0,0,0.913759052,['2/4@0.0'],0,"(3042, 2784)",0.915187377,,70.58959864,50.21568627,1769,1275,,20.37391237
crausaz_orton_mandy_lous_cakewalk_orton_ex_gordon,Mandy Lou's Cakewalk,"Gordon, Thomas (Tom) Renton",1966,,R,2/4,0.07894725,0.112676011,0.992760618,['2/4@0.0'],0.125,"(2879, 2862)",0.994095172,,71.91544118,51.21174206,1904,1039,,20.70369912
intartaglia_ex_intartaglia_mandys_broadway_stroll_intartaglia,Mandy's Broadway Stroll,"Broady, Thomas E.",1898,,R,4/4,0.816440625,0.90625,0.036778227,['3/4@0.0'],0,"(2719, 2560)",0.941522619,,63.20220386,63.38149197,1815,1059,notsplit,-0.179288117
macdonald_mandys_broadway_stroll_macdonald,Mandy's Broadway Stroll,"Broady, Thomas E.",1898,,R,4/4,0,0,0.994621246,['4/4@0.0'],0,"(2231, 2219)",0.994621246,,73.4078341,54.03554275,1302,1041,,19.37229135
misc_sequencers_f_l_mandys_broadway_stroll_hobbs,Mandy's Broadway Stroll,"Broady, Thomas E.",1898,,R,2/4,2.666668,4,0.728215768,['2/4@0.0'],2,"(2410, 1845)",0.765560166,,73.96510862,54.01534036,1519,1043,,19.94976826
cowles_manhattan_rag_the_kendall_cowles,"Manhattan Rag, The","Kendall, Edwin F.",1906,,R,2/4,1.158333913,1.7375,0.112048193,['2/4@0.0'],1.75,"(1631, 1577)",0.966891478,,69.45514636,51.78421053,1059,760,,17.67093584
misc_sequencers_a_e_maple_leaf_rag_boudrant,Maple Leaf Rag,"Joplin, Scott",1899,,R,4/4,0.947355,1.5,1,['4/4@0.0'],1.5,"(2632, 2632)",1,,55.08798283,73.04421053,1398,1425,,-17.95622769
old_web_prt_maple_leaf_rag_unk1_ex_old_web,Maple Leaf Rag,"Joplin, Scott",1899,,R,4/4,0.947367,3,0.787339972,['4/4@0.0'],3,"(1441, 1441)",1,,73.19047619,56.04761905,693,798,,17.14285714
misc_sequencers_a_e_maple_leaf_rag_davidson,Maple Leaf Rag,"Joplin, Scott",1899,,R,4/4,0.90909,3,0.773069036,['4/4@0.0'],3,"(1854, 1700)",0.916936354,,74.43024302,56.53109072,1111,981,,17.8991523
old_web_prt_maple_leaf_rag_unk6_ex_old_web,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.812455637,1.39375,0.110801116,['2/4@0.0'],1.375,"(2563, 2057)",0.802575107,,73.30932203,54.93571429,1416,1540,,18.37360775
misc_sequencers_f_l_maple_leaf_rag_hobbs,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.873786,1.5,0.765643218,['2/4@0.0'],1.5,"(2633, 2196)",0.834029624,,73.09908644,54.72439204,1423,1357,,18.3746944
decker_kermit_laura_morgan_msn_midibiz_btd_maple_leaf_rag_unk2_ex_laura,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.9375,1.5,1,['2/4@0.0'],1.5,"(2630, 2630)",1,,73.19682769,54.72439204,1387,1357,,18.47243564
decker_kermit_laura_morgan_msn_midibiz_btd_maple_leaf_rag_unk_ex_btd,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.850756875,1.385416667,0.258270227,['2/4@0.0'],1.375,"(2580, 1999)",0.774806202,,73.42597765,54.93628641,1432,1648,,18.48969125
misc_sequencers_m_r_maple_leaf_rag_stratton_ex_midibiz,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.9183675,1.5,0.998830865,['2/4@0.0'],1.5,"(2624, 2624)",1,,73.19188993,54.65904059,1381,1355,,18.53284934
macdonald_maple_leaf_rag_macdonald,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.9183675,1.5,1,['2/4@0.0'],1.5,"(2623, 2623)",1,,73.19852941,54.65904059,1360,1355,,18.53948882
misc_sequencers_unks_maple_leaf_rag_unk_ex_amringer,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.9,1.5,1,['2/4@0.0'],1.5,"(2625, 2625)",1,,73.20549928,54.66199262,1382,1355,,18.54350666
old_web_prt_maple_leaf_rag_unk4_ex_old_web,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.9,1.5,1,['2/4@0.0'],1.5,"(2625, 2625)",1,,73.20549928,54.66199262,1382,1355,,18.54350666
old_web_prt_maple_leaf_rag_unk3_ex_old_web,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.7826085,1.5,0.941634241,['2/4@0.0'],1.5,"(2628, 2628)",1,,85.21732852,66.65364775,1385,1357,,18.56368077
misc_sequencers_a_e_maple_leaf_rag_bolling,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.7377045,1.5,0.941634241,['2/4@0.0'],1.5,"(2628, 2628)",1,,85.21732852,66.65364775,1385,1357,,18.56368077
misc_sequencers_m_r_maple_leaf_rag_muromachi,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,1.528058983,4.991666667,0.247068022,['2/4@0.0'],2,"(2730, 2726)",0.998534799,,73.21485798,54.64117647,1373,1360,,18.5736815
misc_sequencers_a_e_maple_leaf_rag_davis,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.8771925,1.5,1,['2/4@0.0'],1.5,"(2540, 2538)",0.999212598,,73.22748447,54.62790698,1288,1333,,18.5995775
electriclef_witherwax_maple_leaf_rag_witherwax,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,2.500001,3.5,1,['2/4@0.0'],2,"(2624, 2624)",1,,73.42773294,54.67662054,1363,1373,,18.7511124
schwartz_maple_leaf_rag_schwartz,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.9,1.5,0.810434783,['2/4@0.0'],1.5,"(2984, 2504)",0.839142091,,75.42378049,54.96289063,1640,1536,,20.46088986
roache_maple_leaf_rag_roache,Maple Leaf Rag,"Joplin, Scott",1899,,R,2/4,0.833334,1.5,0.659605551,['2/4@0.0'],1.5,"(2815, 2228)",0.791474245,,74.00566751,53.5198939,1588,1508,,20.48577361
misc_sequencers_m_r_maple_leaf_rag_mayo_ex_decker,Maple Leaf Rag,"Joplin, Scott",1899,,R,4/4,2.19473355,6.95,0.331836887,['4/4@0.0'],4,"(2770, 2221)",0.801805054,,77.96073464,54.37054472,1579,1487,,23.59018992
ex_mathew_mardi_gras_rag_lyons_yosco_dahmen_ex_mathew,Mardi Gras Rag,"Lyons, George & Yosco, Bob",1914,,R,2/4,0,0,1,['2/4@0.0'],0,"(1403, 1403)",1,,72.3422619,52.20519836,672,731,,20.13706355
hiawatha_radna_martini_rag_radna,Martini Rag,"Radna, Rudolf B.",2009,,Y,2/4,0,0,1,['2/4@0.0'],0,"(2339, 2339)",1,,75.66435506,50.58525346,1442,1085,,25.07910161
cowles_mascot_the_cowles,"Mascot, The","Blake, Charlotte",1905,,N,2/4,1.101852238,1.152343795,0.147601476,['2/4@0.0'],1.5,"(1631, 1621)",0.993868792,,73.9378882,56.05340909,805,880,,17.88447911
macdonald_mashed_potatoes_macdonald,Mashed Potatoes,"Woolsey, Calvin Lee",1911,,R,2/4,0,0,0.971138846,['2/4@0.0'],0,"(2620, 2550)",0.973282443,,76.59230221,53.76171565,1403,1259,,22.83058656
wilson_mattapan_rag_wilson,Mattapan Rag,"Carriker, Robert",1981,,Y,2/4,0,0,0.995663957,['2/4@0.0'],0,"(2185, 2180)",0.99771167,,67.85137615,48.66703176,1635,913,,19.18434438
misc_sequencers_f_l_may_irwins_rag_time_dance_kass,May Irwin's Rag Time Dance,"Irwin, May",1906,,R,2/4,0,0,0.990724638,['2/4@0.0'],0,"(1713, 1705)",0.995329831,,69.70110701,52.34256927,1084,794,,17.35853774
intartaglia_ex_intartaglia_meddlesome_st_john_intartaglia,Meddlesome,"St John, Clarence H.",1908,,R,4/4,0.92335249,2.489583333,0.041869523,['4/4@0.0'],0,"(2136, 2117)",0.991104869,,63.83091286,64.26842105,1928,570,notsplit,-0.43750819
cowles_meddlesome_st_john_cowles,Meddlesome,"St John, Clarence H.",1908,,R,2/4,0,0,0.192441571,['2/4@0.0'],0,"(2021, 2021)",1,,72.35893155,51.77087794,1198,934,,20.58805361
mezjuev_mediados_de_junio_pallejá_ex_mezjuev,Mediados De Junio,"Pallej‚àö¬∞, Ezequiel",1999,,Y,4/4,2.752473367,4.633333333,0.043478261,['4/4@0.0'],3.25,"(1518, 1314)",0.865612648,,72.78586279,51.31294452,962,703,,21.47291826
macdonald_medic_rag_macdonald,Medic Rag,"Woolsey, Calvin Lee",1910,,R,2/4,0,0,1,['2/4@0.0'],0,"(2636, 2636)",1,,73.68969422,53.92730662,1766,1073,,19.76238761
cowles_melody_rag_johnson_cowles,Melody Rag,"Johnson, Charles L. (as Birch, Raymond)",1911,,R,2/4,0,0,0.206997085,['2/4@0.0'],0,"(1715, 1715)",1,,72.11749347,51.33431085,1149,682,,20.78318262
macdonald_memphis_blues_the_macdonald,"Memphis Blues, The","Handy, W. C.",1912,,B,2/4,1.171875,1.25,0.99680341,['2/4@0.0'],1.25,"(1908, 1902)",0.996855346,,68.6899841,51.92474344,1258,877,,16.76524066
cowles_memphis_rag_the_wenrich_cowles,"Memphis Rag, The","Wenrich, Percy",1908,,R,2/4,0,0,0.143237251,['2/4@0.0'],0,"(2255, 2255)",1,,74.8060472,53.66369313,1356,1121,,21.14235407
hiawatha_radna_mermaid_rag_radna,Mermaid Rag,"Radna, Rudolf B.",2009,,Y,2/4,0.227272667,0.333333333,0.918091168,['2/4@0.0'],0.333333333,"(2929, 2726)",0.930693069,,71.2400807,51.21556474,1487,1452,,20.02451596
cowles_merry_madcap_cowles,Merry Madcap,"Bell, Mae",1908,,M,2/4,0,0,0.480964467,['2/4@0.0'],0,"(2363, 2361)",0.999153618,,72.19370979,53.46646341,1399,984,,18.72724638
